event,node,start,end,latitude,longitude,accuracy
form start,,1702382662823,,,,
location tracking enabled,,1702382662826,,,,
location permissions granted,,1702382662830,,,,
location providers enabled,,1702382662831,,,,
group questions,/data/Details,1702382662843,1702382701358,26.710095,70.6310086,3.9000000953674316
group questions,/data/Details2,1702382701403,1702382706350,26.710095,70.6310086,3.9000000953674316
group questions,/data/Bird[1]/Bird_details,1702382706368,1702382841685,26.710095,70.6310086,3.9000000953674316
group questions,/data/Bird[1]/Bird_details2,1702382841705,1702382856783,26.7093166,70.6303062,3.9000000953674316
group questions,/data/Bird[1]/Other_details,1702382856833,1702382859763,26.7093166,70.6303062,3.9000000953674316
add repeat,/data/Bird[2],1702382859780,1702382990140,26.7093166,70.6303062,3.9000000953674316
group questions,/data/Bird[2]/Bird_details,1702382862712,1702382990140,26.7093166,70.6303062,3.9000000953674316
group questions,/data/Bird[2]/Bird_details2,1702382990162,1702382996002,26.7085718,70.6300746,3.9000000953674316
group questions,/data/Bird[2]/Other_details,1702382996072,1702382997604,26.7085718,70.6300746,3.9000000953674316
add repeat,/data/Bird[3],1702382997621,1702383377282,26.7085718,70.6300746,3.9000000953674316
group questions,/data/Bird[3]/Bird_details,1702382998361,1702383377282,26.7085718,70.6300746,3.9000000953674316
jump,,1702383377282,,26.7060765,70.6291795,3.9000000953674316
delete repeat,,1702383379709,,26.7060765,70.6291795,3.9000000953674316
end screen,,1702383380990,1702383382602,26.7060765,70.6291795,3.9000000953674316
group questions,/data/End_details,1702383382603,1702383396475,26.7060765,70.6291795,3.9000000953674316
end screen,,1702383396504,1702383397948,26.7060765,70.6291795,3.9000000953674316
form save,,1702383398156,,26.7060765,70.6291795,3.9000000953674316
form exit,,1702383398156,,26.7060765,70.6291795,3.9000000953674316
form finalize,,1702383398156,,26.7060765,70.6291795,3.9000000953674316
